Order_ID,Order_Date,Customer_ID,City,Restaurant,Food_Category,Quantity,Price,Discount,Delivery_Fee,Payment_Method,Order_Status,Rating,Total_Amount
ORD00833,2025-01-01,CUST0085,Mumbai,Bombay Bites,Chinese,1,296.52,42.42,40,Debit Card,Cancelled,3.6,294.1
ORD00324,2025-01-01,CUST0112,Chennai,Chennai Bites,Chinese,1,276.98,31.58,20,Credit Card,Delivered,3.8,265.4
ORD00528,2025-01-01,CUST0734,Pune,Deccan Kitchen,Chinese,2,319.65,44.24,20,Credit Card,Delivered,3.8,615.06
ORD02437,2025-01-01,CUST0167,Pune,Deccan Kitchen,Healthy Food,2,259.21,30.53,60,UPI,Delivered,4.5,547.89
ORD01444,2025-01-01,CUST0146,Chennai,Spice Hub,Pizza,1,454.31,46.88,40,Credit Card,Delivered,4.8,447.43
ORD01576,2025-01-02,CUST0335,Chennai,Dosa House,Biryani,2,219.61,6.9,30,Credit Card,Delivered,4.0,462.32
ORD01502,2025-01-02,CUST0762,Kolkata,East Spice,South Indian,1,219.19,15.26,30,Wallet,Cancelled,3.9,233.93
ORD02011,2025-01-02,CUST0084,Kochi,Coastal Treats,North Indian,2,109.52,8.18,40,UPI,Delivered,3.3,250.86
ORD02609,2025-01-02,CUST0580,Hyderabad,Hyderabad House,South Indian,1,266.65,17.19,20,Debit Card,Delivered,4.8,269.46
ORD00163,2025-01-02,CUST0734,Delhi,Street Feast,Chinese,1,234.42,20.36,30,Debit Card,Cancelled,3.8,244.06
ORD02407,2025-01-02,CUST0581,Bengaluru,Bengaluru Bowl,Burgers,1,241.27,37.06,30,Credit Card,Delivered,5.0,234.21
ORD00583,2025-01-02,CUST0196,Kochi,Kerala Kitchen,Pizza,2,453.17,32.87,50,UPI,Delivered,5.0,923.47
ORD00405,2025-01-02,CUST0686,Delhi,Delhi Zaika,Chinese,3,334.04,95.46,30,Credit Card,Delivered,5.0,936.66
ORD01183,2025-01-03,CUST0441,Hyderabad,Nawab Kitchen,Burgers,1,265.96,36.48,50,UPI,Delivered,2.6,279.48
ORD01022,2025-01-03,CUST0748,Mumbai,Coastal Kitchen,South Indian,1,159.29,22.13,30,Cash,Delivered,4.5,167.16
ORD02098,2025-01-03,CUST0794,Delhi,Delhi Zaika,Biryani,3,249.2,133.1,30,Credit Card,Delivered,5.0,644.5
ORD01384,2025-01-03,CUST0775,Chennai,Dosa House,North Indian,1,417.15,51.79,30,Credit Card,Delivered,3.8,395.36
ORD01742,2025-01-03,CUST0454,Hyderabad,Deccan Delights,Desserts,1,182.86,11.83,20,UPI,Delivered,4.0,191.03
ORD01940,2025-01-03,CUST0386,Kochi,Coastal Treats,Biryani,1,293.18,15.75,40,Debit Card,Delivered,4.7,317.43
ORD02777,2025-01-03,CUST0645,Hyderabad,Nawab Kitchen,Biryani,1,279.26,47.99,40,UPI,Delivered,4.1,271.27
ORD01458,2025-01-03,CUST0027,Kochi,Coastal Treats,Desserts,1,135.76,22.99,30,Credit Card,Delivered,3.6,142.77
ORD01119,2025-01-04,CUST0334,Kochi,Coconut Cafe,North Indian,2,323.36,54.03,20,Debit Card,Delivered,4.1,612.69
ORD02266,2025-01-04,CUST0454,Bengaluru,South Spice,Desserts,1,126.25,15.9,20,,Delivered,4.2,130.35
ORD02749,2025-01-04,CUST0232,Hyderabad,Nawab Kitchen,Chinese,2,208.47,19.91,20,UPI,Delivered,4.2,417.03
ORD00330,2025-01-04,CUST0706,Chennai,Chennai Bites,Burgers,2,183.55,66.23,40,Debit Card,Delivered,5.0,340.87
ORD01357,2025-01-04,CUST0443,Hyderabad,Hyderabad House,Chinese,1,214.24,41.21,50,UPI,Delivered,4.5,223.03
ORD02959,2025-01-04,CUST0698,Delhi,Delhi Zaika,Biryani,2,275.06,32.8,30,Cash,Delivered,4.7,547.32
ORD00730,2025-01-05,CUST0556,Bengaluru,Bengaluru Bowl,North Indian,1,384.35,9.71,30,UPI,Delivered,3.2,404.64
ORD01523,2025-01-05,CUST0061,Bengaluru,Bengaluru Bowl,South Indian,1,173.97,11.02,50,Wallet,Delivered,4.5,212.95
ORD00747,2025-01-05,CUST0233,Kolkata,East Spice,South Indian,1,242.26,46.7,40,Credit Card,Delivered,4.1,235.56
ORD02538,2025-01-05,CUST0663,Delhi,Delhi Zaika,Desserts,2,116.49,35.02,50,Cash,Delivered,3.1,247.96
ORD02596,2025-01-05,CUST0110,Chennai,Spice Hub,Biryani,1,242.23,20.9,40,UPI,Delivered,3.4,261.33
ORD00162,2025-01-05,CUST0096,Hyderabad,Hyderabad House,Biryani,3,293.51,69.91,30,Credit Card,Cancelled,4.1,840.62
ORD02676,2025-01-05,CUST0155,Delhi,Capital Bites,South Indian,1,166.01,11.17,40,Debit Card,Cancelled,5.0,194.84
ORD02050,2025-01-05,CUST0352,Bengaluru,Garden Kitchen,Pizza,1,368.39,2.06,50,UPI,Delivered,5.0,416.33
ORD01160,2025-01-05,CUST0145,Kolkata,Bengal Feast,North Indian,1,196.03,14.7,30,Debit Card,Delivered,3.6,211.33
ORD02918,2025-01-05,CUST0186,Mumbai,Coastal Kitchen,Desserts,1,95.56,11.24,40,Credit Card,Cancelled,3.8,124.32
ORD02751,2025-01-06,CUST0284,Kochi,Coastal Treats,South Indian,2,159.55,60.83,40,Credit Card,Delivered,5.0,298.27
ORD02760,2025-01-06,CUST0581,Pune,Marathi Meals,Chinese,2,192.95,62.4,30,UPI,Delivered,3.8,353.5
ORD02361,2025-01-06,CUST0583,Bengaluru,Tech Tadka,Healthy Food,1,328.93,45.63,60,Debit Card,Delivered,3.6,343.3
ORD01561,2025-01-06,CUST0655,Bengaluru,Bengaluru Bowl,South Indian,1,177.46,32.86,20,UPI,Delivered,4.6,164.6
ORD01916,2025-01-06,CUST0591,Hyderabad,Nawab Kitchen,Chinese,1,276.37,5.9,30,Credit Card,Delivered,4.0,300.47
ORD02669,2025-01-06,CUST0485,Delhi,Punjabi Rasoi,Desserts,1,162.25,31.93,50,UPI,Delivered,2.6,180.32
ORD02484,2025-01-06,CUST0209,Chennai,Dosa House,Biryani,1,374.08,66.81,40,Cash,Delivered,3.1,347.27
ORD01790,2025-01-06,CUST0426,Chennai,Chennai Bites,Pizza,1,477.48,9.95,50,Debit Card,Delivered,5.0,517.53
